date,business_id,sold_lots,gmv_usd_current_fx,skipped_fx_lots,gmv_native_by_currency
2025-08-16,AD,868,21428.53,0,"{""USD"":21428.53}"
2025-08-16,ALL,1206,359125.15,0,"{""CAD"":2935,""USD"":357058.9}"
2025-08-16,GD,338,337696.62,0,"{""CAD"":2935,""USD"":335630.37}"
2025-08-17,AD,859,20035.96,0,"{""USD"":20035.96}"
2025-08-17,ALL,1234,554896.88,0,"{""CAD"":13728,""USD"":545232.32}"
2025-08-17,GD,375,534860.92,0,"{""CAD"":13728,""USD"":525196.36}"
2025-08-18,AD,828,29299.77,0,"{""USD"":29299.77}"
2025-08-18,ALL,2350,2305159.25,0,"{""AUD"":100,""BRL"":439698,""CAD"":59840.53,""USD"":2177937.99}"
2025-08-18,GD,1517,2180766.15,0,"{""CAD"":59840.53,""USD"":2138638.22}"
2025-08-18,GI,5,95093.33,0,"{""AUD"":100,""BRL"":439698,""USD"":10000}"
2025-08-19,AD,880,24904.69,0,"{""USD"":24904.69}"
2025-08-19,ALL,2761,2809775.34,0,"{""BRL"":340000,""CAD"":146253.85,""EUR"":31000,""USD"":2605677.26}"
2025-08-19,GD,1876,2683735.75,0,"{""CAD"":146253.85,""USD"":2580772.57}"
2025-08-19,GI,5,101134.9,0,"{""BRL"":340000,""EUR"":31000}"
2025-08-20,AD,890,20127.32,0,"{""USD"":20127.32}"
2025-08-20,ALL,2500,2936550.43,0,"{""BRL"":581308,""CAD"":181304,""USD"":2496895.29,""ZAR"":3277880}"
2025-08-20,GD,1517,2527498.73,0,"{""CAD"":180094,""USD"":2400711.97}"
2025-08-20,GI,93,388924.38,0,"{""BRL"":581308,""CAD"":1210,""USD"":76056,""ZAR"":3277880}"
2025-08-21,AD,876,21237.93,0,"{""USD"":21237.93}"
2025-08-21,ALL,2948,4333960.58,0,"{""BRL"":282261,""CAD"":484647.91,""EUR"":32780,""GBP"":129312.01,""USD"":3666549.08,""ZAR"":1034000}"
2025-08-21,GD,1425,3095205.62,0,"{""CAD"":484647.91,""USD"":2754011.92}"
2025-08-21,GI,647,1217517.03,0,"{""BRL"":282261,""EUR"":32780,""GBP"":129312.01,""USD"":891299.23,""ZAR"":1034000}"
2025-08-22,AD,817,18809.87,0,"{""USD"":18809.87}"
2025-08-22,ALL,1937,2286082.94,0,"{""BRL"":434966,""CAD"":57675,""GBP"":4350,""USD"":2144922.16,""ZAR"":175500}"
2025-08-22,GD,1112,2152015.68,0,"{""CAD"":57675,""USD"":2111412.29}"
2025-08-22,GI,8,115257.39,0,"{""BRL"":434966,""GBP"":4350,""USD"":14700,""ZAR"":175500}"
2025-08-23,AD,769,16352.98,0,"{""USD"":16352.98}"
2025-08-23,ALL,1191,487899.94,0,"{""CAD"":21234,""USD"":472951.14}"
2025-08-23,GD,422,471546.96,0,"{""CAD"":21234,""USD"":456598.16}"
2025-08-24,AD,26,65,0,"{""USD"":65}"
2025-08-24,ALL,453,623314.42,0,"{""CAD"":4636,""USD"":620050.66}"
